"г. Жуковский, ул. Гризодубовой, д. 4","ЖКХ-Сервис "
"г. Жуковский, ул. Семашко, д. 8/1","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Семашко, д. 8/2","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Семашко, д. 8/3","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Семашко, д. 10","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 2А","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 4А","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 6","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 7","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 10А","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 11","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 12","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 14","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Серова, д. 16","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Советская, д. 6","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Строительная, д. 4","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Строительная, д. 8","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Туполева, д. 4","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Туполева, д. 8","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Туполева, д. 10","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Туполева, д. 12","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Федотова, д. 3","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Федотова, д. 7","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Федотова, д. 9","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Федотова, д. 13","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Федотова, д. 15","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 10","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 12","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 15","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 19","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 20","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 22","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 24","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Фрунзе, д. 26","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 4А","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 8","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 10","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 18","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 20","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 24","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 26","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 28","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 32","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чаплыгина, д. 34","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 1","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 3","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 5","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 6","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 7","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 8","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 9","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 11","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 12","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 13","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 14","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 15","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 16","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 17","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 18","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 19","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 20","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 21","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 22","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 23","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 24","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 25","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 27","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 29","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 30/16","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 31","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 32","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 33","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 34","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 35","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 36/19","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 37","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 39","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 43","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 45","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Чкалова, д. 47","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Энергетическая, д. 3","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Анохина, д. 3","ЖКХ-Сервис +"
"г. Жуковский, ул. Анохина, д. 5","ЖКХ-Сервис +"
"г. Жуковский, ул. Анохина, д. 7","ЖКХ-Сервис +"
"г. Жуковский, ул. Гризодубовой, д. 10","ЖКХ-Сервис +"
"г. Жуковский, ул. Гризодубовой, д. 14","ЖКХ-Сервис +"
"г. Жуковский, ул. Грищенко, д. 6","ЖКХ-Сервис +"
"г. Жуковский, ул. Гудкова, д. 1","ЖКХ-Сервис +"
"г. Жуковский, ул. Гудкова, д. 3","ЖКХ-Сервис +"
"г. Жуковский, ул. Менделеева, д. 11, к. а","ЖКХ-Сервис +"
"г. Жуковский, ул. Набережная Циолковского, д. 9","ЖКХ-Сервис +"
"г. Жуковский, ул. Набережная Циолковского, д. 13","ЖКХ-Сервис +"
"г. Жуковский, ул. Амет-хан Султана, д. 15, к. 1","УК Парк-сити"
"г. Жуковский, ул. Амет-хан Султана, д. 15, к. 2","УК Парк-сити"
"г. Жуковский, ул. Амет-хан Султана, д. 15, к. 3","УК Парк-сити"
"г. Жуковский, ул. Гагарина, д. 85","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Гарнаева, д. 14","УК ЖКС"
"г. Жуковский, ул. Строительная, д. 14, к. 1","УК ЖКС"
"г. Жуковский, ул. Строительная, д. 14, к. 2","УК ЖКС"
"г. Жуковский, ул. Строительная, д. 14, к. 3","УК ЖКС"
"г. Жуковский, ул. Строительная, д. 14, к. 4","УК ЖКС"
"г. Жуковский, ул. Амет-хан Султана, д. 1","УК Наукоград"
"г. Жуковский, ул. Амет-хан Султана, д. 5","УК Наукоград"
"г. Жуковский, ул. Амет-хан Султана, д. 7","УК Наукоград"
"г. Жуковский, ул. Амет-хан Султана, д. 9","УК Наукоград"
"г. Жуковский, ул. Амет-хан Султана, д. 11","УК Наукоград"
"г. Жуковский, ул. Амет-хан Султана, д. 23","УК Наукоград"
"г. Жуковский, ул. Амет-хан Султана, д. 25","УК Наукоград"
"г. Жуковский, ул. Амет-хан Султана, д. 29","УК Наукоград"
"г. Жуковский, ул. Анохина, д. 9","УК Наукоград"
"г. Жуковский, ул. Анохина, д. 11","УК Наукоград"
"г. Жуковский, ул. Анохина, д. 15","УК ""Мой дом"""
"г. Жуковский, ул. Анохина, д. 17","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 10","ООО «Теплоцентраль – ЖКХ»"
"г. Жуковский, ул. Гагарина, д. 22","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 26, к. 2","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 26, к. 3","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 30","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 32, к. 2","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 32, к. 3","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 38, к. 2","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 42","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 50","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 52","УК Наукоград"
"г. Жуковский, ул. Гагарина, д. 83","УК Наукоград"
"г. Жуковский, ул. Гарнаева, д. 2","УК Наукоград"
"г. Жуковский, ул. Горельники, д. 5","УК Наукоград"
"г. Жуковский, ул. Горького, д. 4","УК ""Мой дом"""
"г. Жуковский, ул. Гризодубовой, д. 6","УК ""Мой дом"""
"г. Жуковский, ул. Гризодубовой, д. 8","УК ""Мой дом"""
"г. Жуковский, ул. Гризодубовой, д. 12","УК ""Мой дом"""
"г. Жуковский, ул. Гризодубовой, д. 16","УК ""Мой дом"""
"г. Жуковский, ул. Гризодубовой, д. 18","УК ""Мой дом"""
"г. Жуковский, ул. Гринчика, д. 2","УК Наукоград"
"г. Жуковский, ул. Гринчика, д. 4","УК Наукоград"
"г. Жуковский, ул. Гудкова, д. 17","УК Наукоград"
"г. Жуковский, ул. Заводская, д. 19","УК Наукоград"
"г. Жуковский, ул. Заводская, д. 20","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 4/8","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 5","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 8","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 9, к. 1","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 9, к. 2","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 9, к. 3","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 10","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 12","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 19","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 19, к. А","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 20","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 21","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 22","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 23","УК Наукоград"
"г. Жуковский, ул. Клубная, д. 24","УК Наукоград"
"г. Жуковский, ул. Лесная, д. 14","УК Наукоград"
"г. Жуковский, ул. Луч, д. 5","УК Наукоград"
"г. Жуковский, ул. Луч, д. 8","УК Наукоград"
"г. Жуковский, ул. Луч, д. 10","УК Наукоград"
"г. Жуковский, ул. Луч, д. 11","УК Наукоград"
"г. Жуковский, ул. Луч, д. 12","УК Наукоград"
"г. Жуковский, ул. Луч, д. 13","УК Наукоград"
"г. Жуковский, ул. Луч, д. 13, к. А","УК Наукоград"
"г. Жуковский, ул. Луч, д. 14","УК Наукоград"
"г. Жуковский, ул. Луч, д. 15","УК Наукоград"
"г. Жуковский, ул. Луч, д. 15/1","УК Наукоград"
"г. Жуковский, ул. Луч, д. 16","УК Наукоград"
"г. Жуковский, ул. Луч, д. 18","УК Наукоград"
"г. Жуковский, ул. Луч, д. 19","УК Наукоград"
"г. Жуковский, ул. Луч, д. 21","УК Наукоград"
"г. Жуковский, ул. Луч, д. 23","УК Наукоград"
"г. Жуковский, ул. Луч, д. 25","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 1/7","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 4/16","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 5","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 6","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 8","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 10","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 13","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 13, к. 2","УК Наукоград"
"г. Жуковский, ул. Мичурина, д. 15","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 22","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 30","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 30, к. Б","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 30, к. В","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 30, к. Г","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 32","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 33","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 33, к. 2","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 35","УК Наукоград"
"г. Жуковский, ул. Нижегородская, д. 37","УК Наукоград"
"г. Жуковский, ул. Осипенко, д. 5А","УК Наукоград"
"г. Жуковский, ул. Осипенко, д. 12/6","УК Наукоград"
"г. Жуковский, ул. Туполева, д. 5","УК ""Мой дом"""
"г. Жуковский, ул. Туполева, д. 7","УК Наукоград"
"г. Жуковский, ул. Туполева, д. 9","ЖКХ-Сервис "
"г. Жуковский, ул. Туполева, д. 14","УК Наукоград"
"г. Жуковский, ул. Туполева, д. 16","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 1","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 2/22","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 3","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 3, к. А","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 4","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 5","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 6","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 7","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 9","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 11","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 12","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 12, к. А","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 13","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 14","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 14, к. А","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 15","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 16","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 17","УК Наукоград"
"г. Жуковский, ул. Чапаева, д. 18","УК Наукоград"
"г. Жуковский, ул. Чкалова, д. 10","УК Наукоград"
"г. Жуковский, ул. Чкалова, д. 53","УК Наукоград"
"г. Жуковский, ул. Чкалова, д. 55","УК Наукоград"
"г. Жуковский, ул. Чкалова, д. 57/8","УК Наукоград"
"г. Жуковский, ул. Школьная, д. 2/17","УК Наукоград"
"г. Жуковский, ул. Школьная, д. 3/26","УК Наукоград"
"г. Жуковский, ул. Школьная, д. 4","УК Наукоград"
"г. Жуковский, ул. Школьная, д. 5/25","УК Наукоград"
"г. Жуковский, ул. Школьная, д. 11","УК Наукоград"
"г. Жуковский, ул. Федотова, д. 5","УК ""Мой дом"""
"г. Жуковский, ул. Гудкова, д. 20","УК Наукоград"
"г.Жуковский, ул.Амет-Хан-Султана д.3","ЖСК «Строитель»"
"г.Жуковский, ул.Осипенко д.3","ЖСК «Наука-1»"
" г.Жуковский, ул.Федотова д.11","ЖСК «Наука-2»"
" г.Жуковский, ул.Баженова д.5 к.1","ЖСК «Наука-3»"
" г.Жуковский, ул.Нижегородская д.33 к.1","ЖСК «Наука-4»"
" г.Жуковский, ул.Нижегородская д.33 к.3","ЖСК «Наука-5»"
" г.Жуковский, ул.Муромская д.28","ЖСК «Наука-6»"
" г.Жуковский, ул.Муромская д.30","ЖСК «Наука-6»"
" г.Жуковский, ул.Мясищева д.14","ЖСК «Космос-1»"
" г.Жуковский, ул.Дугина д.27","ЖСК «Космос-2»"
" г.Жуковский, ул.Дугина д.2\19","ЖСК «Космос-3»"
" г.Жуковский, ул.Серова д.8а","ЖСК «Космос-4»"
" г.Жуковский, ул.Серова д.20","ЖСК «Космос-5»"
" г.Жуковский, ул.Серова д.18","ЖСК «Космос-6»"
" г.Жуковский, ул.Гагарина 28   ","ЖСК «Космос-7»"
" г.Жуковский, ул.Гагарина  д.26","ЖСК «Космос-8»"
" г.Жуковский, ул.Мясищева д.2а","ЖСК «Космос-9»"
" г.Жуковский, ул.Мясищева д.6а","ЖСК «Космос-9»"
" г.Жуковский, ул.Гагарина д.46","ЖСК «Космос-10»"
" г.Жуковский, ул.Пл.Московская д.7","ЖСК «Космос-11А»"
" г.Жуковский, ул.Н.Циолковского д.24","ЖСК «Космос-12»"
" г.Жуковский, ул.Н.Циолковского д.16","ЖСК «Космос-12а»"
" г.Жуковский, ул.Н.Циолковского д.20","ЖСК «Космос-12а»"
" г.Жуковский, ул.Мясищева   д.10","ЖСК «Луч-1»"
" г.Жуковский, ул.Дугина д.4","ЖСК «Луч-2»"
" г.Жуковский, ул.Гагарина д.29","ЖСК «Луч-3»"
" г.Жуковский, ул.Гагарина д.63","ЖСК «Луч-4»"
" г.Жуковский, ул.Дугина д.14","ЖСК «Луч-5»"
" г.Жуковский, ул.Н.Циолковского д.14","ЖСК «Луч-6»"
" г.Жуковский, ул.Гагарина  д.30 кв.1- 80","ЖСК «Спутник»"
" г.Жуковский, ул.Гагарина  д.47","ЖСК «Спутник-2»"
" г.Жуковский, ул.Мясищева д.8 к.6","ЖСК «Спутник-3»"
" г.Жуковский, ул.Гарнаева д.3 ","ЖСК «Стрела»"
" г.Жуковский, ул.Дугина д.29","ЖСК «Стрела-2»"
" г.Жуковский, ул.Серова д.14а","ЖСК «Стрела-3»"
" г.Жуковский, ул.Гагарина д.31","ЖСК «Стрела-5»"
" г.Жуковский, ул.Гагарина д.55","ЖСК «Стрела-6»"
" г.Жуковский, ул.Гагарина д.34","ЖСК «Стрела-7»"
" г.Жуковский, ул.Молодежная д.11","ЖСК «Стрела-8»"
" г.Жуковский, ул.Молодежная д.18","ЖСК «Стрела-9»"
" г.Жуковский, ул.Чкалова  д.7\2","ЖСК «Стрела-10»"
" г.Жуковский, ул.Мясищева д.12","ЖСК «Звезда»"
" г.Жуковский, ул.Мясищева д.10а","ЖСК «Звезда-2»"
" г.Жуковский, ул.Гагарина д.45","ЖСК «Звезда-3»"
" г.Жуковский, ул.Гагарина д.38","ЖСК «Звезда-4»"
" г.Жуковский, ул.Дугина д.12","ЖСК «Звезда-5»"
" г.Жуковский, ул.Гагарина д.40","ЖСК «Комета-1»"
" г.Жуковский, ул.Молодежная д.17                                         ","ЖСК «Комета-2»"
" г.Жуковский, ул.Чкалова д.10а","ЖСК «Дружба»"
" г.Жуковский, ул.Дугина д.25","ЖСК «Дружба-2»"
" г.Жуковский, ул.Серова д.6а","ЖСК «Дружба-3»"
" г.Жуковский, ул.Дугина д.10, кв.81-159","ЖСК «Дружба-4»"
" г.Жуковский, ул.Молодежная  д.34 к.2","ЖСК «Союз-1»"
" г.Жуковский, ул.Королева д.16\23","ЖСК «Союз-2»"
" г.Жуковский, ул.Федотова д.5","ЖСК «Союз-3»"
" г.Жуковский, ул.Федотова д.17","ЖСК «Союз-4»"
" г.Жуковский, ул.Маяковского д.6","ЖСК «Радар»"
" г.Жуковский, ул. Дзержинского 10/9","ЖСК «Кратово»"
"г.Жуковский, ул.Семашко 5","ЖСК «Кратово»"
" г.Жуковский, ул.Дзержинского ,2/3","ЖСК «Кратово»"
" г.Жуковский,, Дзержинского  6/2","ЖСК «Кратово»"
" г.Жуковский, ул.Молодежная д.7а","ЖСК «Уют»"
" г.Жуковский, ул.Дугина д.17 корп.3","ЖСК «Уют-2»"
" г.Жуковский, ул.Гудкова д.19","ЖСК «Фортуна»"
" г.Жуковский, ул.Гудкова д.21","ЖСК «Фортуна-2»"
" г.Жуковский, ул.Гринчика д.6","ЖСК «Горизонт»"
" г.Жуковский, ул.Дугина д.28/12","ЖСК «Фортуна-3»"
" г.Жуковский, ул.Муромская д.26","ТСЖ «Виктория»"
" г.Жуковский, ул.Лесная д.4а","ТСЖ «На Лесной»"
" г.Жуковский, ул.Горельники д.6","ТСЖ «Горельники-6»"
" г.Жуковский, ул.Жуковского д.9","ТСЖ «Жуковского-9»"
" г.Жуковский, Наб.Циолковского д.11","ТСЖ «Атлант»"
" г.Жуковский, ул.Жуковского д.18","ТСЖ «Жуковского 18»"
" г.Жуковский, ул.Гризодубовой, д.2/10","ТСЖ «М-ЧС»"
" г.Жуковский, ул.Маяковского, д.24","ТСЖ «Маяк»"
" г.Жуковский, ул.Люберецкая д.4","ТСЖ «ул.Люберецкая д.4»"
" г.Жуковский, ул.Дугина д.10","ТСЖ «Космос-11»"
" г.Жуковский, ул.Нижегородская д.18","ТСЖ «Пилот»"
" г.Жуковский, ул.Нижегородская д.20","ТСЖ «Пилот»"
" г.Жуковский, ул.Нижегородская д.24","ТСЖ «Пилот»"
" г.Жуковский, ул.Нижегородская д. 26","ТСЖ «Пилот»"
" г.Жуковский, ул.Нижегородская д. 28","ТСЖ «Пилот»"
" г.Жуковский, ул.Нижегородская д.28а","ТСЖ «Пилот»"
" г.Жуковский, ул.Нижегородская д.30","ТСЖ «Пилот»"
" г.Жуковский,  ул.Коминтерна д.46","ТСЖ «Пилот»"
" г.Жуковский,  ул.Коминтерна д.48","ТСЖ «Пилот»"
" г.Жуковский, ул.Коминтерна д., 50","ТСЖ «Пилот»"
" г.Жуковский, ул.Гризодубовой д.6","ТСЖ «Гарант»"
" г.Жуковский, ул.Гринчика, д.3/2","ТСЖ «Надежда»"
" г.Жуковский, ул.Чкалова д.41 кв.79","ТСЖ «Чкалова-41»"
" г.Жуковский, ул.Серова д.9","ТСЖ «Серова 9»"
" г.Жуковский, ул.Горького д.5","ТСЖ «Горького-5»"
"г. Жуковский, ул. Дугина, д. 17А","ТСЖ Мой дом"
