id,guid,name,gzhi_guid
1,357FC670-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""Эскада""",357FC670-BB06-11E7-9583-B5CD11EEAB0E
2,,Теплоцентраль ЖКХ АС,
3,389F7CA6-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""ЮИТ-СЕРВИС""",
4,389FCBD4-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""ЖКХ-Сервис+""",389FCBD4-BB06-11E7-9583-B5CD11EEAB0E
5,3582BF1A-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""УК ""ПАРК-СИТИ""",3582BF1A-BB06-11E7-9583-B5CD11EEAB0E
6,357E84EA-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""ЖИЛКОМСЕРВИС""",
7,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E,Наукоград (ГО),357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
8,3C1B5D5A-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""УК ""Мира""",
9,357B4064-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Строитель»,
10,356FB7A8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-1»,
11,35702814-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-2»,
12,357090F6-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-3»,
13,3570FB2C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-4»,
14,35716684-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-5»,
15,3571D2F4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Наука-6»,
16,356329A2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-1»,
17,356556F0-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-2»,
18,,ЖСК «Космос-3»,
19,3565C1E4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-4»,
20,35671E68-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-5»,
21,356800F8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-6»,
22,3568DB54-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-7»,
23,356A5448-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-8»,
24,356B3872-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-9»,
25,3563A3DC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-10»,
26,356412CC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-11А»,
27,35647AC8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-12»,
28,3564ED46-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Космос-12а»,
29,356CF6B2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-1»,
30,356D65E8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-2»,
31,356DE572-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-3»,
32,356E66FA-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-4»,
33,356EDCE8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-5»,
34,356F527C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Луч-6»,
35,35746A1E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Спутник»,
36,3574E822-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Спутник-2»,
37,35758DA4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Спутник-3»,
38,415BCB2E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела»,
39,357747A2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-2»,
40,3577DCD0-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-3»,
41,35784ABC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-5»,
42,3B6E84FE-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-6»,
43,35792BE4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-7»,
44,357995FC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-8»,
45,357AD368-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-9»,
46,3576D948-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Стрела-10»,
47,355DDD9E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда»,
48,355EC326-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-2»,
49,355F5138-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-3»,
50,356045DE-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-4»,
51,35612666-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Звезда-5»,
52,3561AEE2-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Комета-1»,
53,356234AC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Комета-2»,
54,355ACF0A-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба»,
55,355C15D6-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба-2»,
56,355C8764-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба-3»,
57,355CFA96-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Дружба-4»,
58,3572AF08-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-1»,
59,41D4A09E-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-2»,
60,43A26212-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-3»,
61,3573F82C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Союз-4»,
62,35724DD8-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Радар»,
63,356C1BAC-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Кратово»,
64,357BBEA4-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Уют»,
65,,ЖСК «Уют-2»,
66,357C4464-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Фортуна»,
67,357CB4DA-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Фортуна-2»,
68,355A668C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Горизонт»,
69,357DB04C-BB06-11E7-9583-B5CD11EEAB0E,ЖСК «Фортуна-3»,
70,358701C4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Виктория»,
71,358B1ED0-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «На Лесной»,
72,3587EAF8-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Горельники-6»,
73,358F7872-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Жуковского-9»,
74,,ТСЖ «Атлант»,
75,3D39203C-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Жуковского 18»,
76,,ТСЖ «М-ЧС»,
77,3D81AC08-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Маяк»,
78,358FE17C-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «ул.Люберецкая д.4»,
79,35896C5C-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Космос-11»,
80,358C8EB4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Пилот»,
81,,ТСЖ «Гарант»,
82,358C2546-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Надежда»,
83,3590C146-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Чкалова-41»,
84,358D07A4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Серова 9»,
85,358855C4-BB06-11E7-9583-B5CD11EEAB0E,ТСЖ «Горького-5»,
86,,ТСЖ Мой дом,
87,,Я_Газовая служба ТЕСТ,
88,,Теплоцентраль ЖКХ ЖЭУ-1,
89,355D5C52-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-02,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
90,355D5C52-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-03,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
91,355D5C52-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-04,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
92,355D5C52-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-05,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
93,355D5C52-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-06,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
94,,"ТЦ-ЖКХ, ЖЭУ-7",
96,355D5C52-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-08,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
97,356AC1D0-BB06-11E7-9583-B5CD11EEAB0E,"ГУП МО ""Мособлгаз"" (Жуковский)",
99,3553DD44-BB06-11E7-9583-B5CD11EEAB0E,"МП ""ТЕПЛОЦЕНТРАЛЬ""",
100,3556B26C-BB06-11E7-9583-B5CD11EEAB0E,ООО «Канал – Сервис»,
101,,Тестовая УО,
102,,"ООО ""СК ""Энергострой""",
103,,"АО Фирма ""ЛИФТРЕМОНТ""",
104,,"ООО ""Экосервис""",
105,,"МУ ""ЖАСО""",
106,,"МП ""ИНЖТЕХСЕРВИС""",
107,5c37f027-41b2-4b48-9818-8d6c093d5d92,"МБУ ""ЦДХБиО""",5c37f027-41b2-4b48-9818-8d6c093d5d92
108,3E3C256A-BB06-11E7-9583-B5CD11EEAB0E,"ДП Жуковского ПАО ""МОЭСК""",
109,3566B658-BB06-11E7-9583-B5CD11EEAB0E,"АО ""Мосэнергосбыт"" (Жуковский)",
110,,"ООО ""Мособлеирц""",
111,43AFE716-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""ЕИРЦ Г. Жуковского""",
112,,"ООО ПК ""Экология""",
113,41C5D0A0-BB06-11E7-9583-B5CD11EEAB0E,"ООО ""УК ""ВЕЛЕС""",
114,,"ООО ""ЖДРСУ""",
116,3D185BC2-BB06-11E7-9583-B5CD11EEAB0E,Администрация ЕДС,
117,435968B4-BB06-11E7-9583-B5CD11EEAB0E,УЖКХ г. Жуковский,
118,41F0E538-BB06-11E7-9583-B5CD11EEAB0E,"АО ""УК ""БУРЕВЕСТНИК""",
119,,Управление ЕИРЦ «Жуковский»,
120,,МФЦ ЕИРЦ г.Жуковский,
124,,ТСЖ Серова 8,
126,,ЕДДС/ЦОВ-112,
127,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЦИДАС",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
128,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЖЭУ №01",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
129,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЖЭУ №02",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
130,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЖЭУ №03",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
131,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЖЭУ №04",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
132,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЖЭУ №09",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
133,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЖЭУ №10",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
134,377AA1B6-BB06-11E7-9583-B5CD11EEAB0E,"Раменская УК, ЖЭУ №12",377AA1B6-BB06-11E7-9583-B5CD11EEAB0E
135,356AC1D0-BB06-11E7-9583-B5CD11EEAB0E,"ГУП МО ""Мособлгаз"" (Раменское)",356AC1D0-BB06-11E7-9583-B5CD11EEAB0E
136,3790173A-BB06-11E7-9583-B5CD11EEAB0E,АО «Раменский водоканал»,3790173A-BB06-11E7-9583-B5CD11EEAB0E
137,3777A146-BB06-11E7-9583-B5CD11EEAB0E,"АО ""Раменская теплосеть""",3777A146-BB06-11E7-9583-B5CD11EEAB0E
138,37835798-BB06-11E7-9583-B5CD11EEAB0E,"АО ""Мосэнергосбыт"" (Раменское)",37835798-BB06-11E7-9583-B5CD11EEAB0E
139,,"МБУ ""СиБ""",
140,,"МБУ ""Рамавтодор""",
141,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-07,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
142,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-01,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
143,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-09,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
144,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E,Наукоград БУ,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
145,35839AC0-BB06-11E7-9583-B5CD11EEAB0E,ЛИИ им. Громова,35839AC0-BB06-11E7-9583-B5CD11EEAB0E
149,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E,Наукоград ЭУ-10,357EF0C4-BB06-11E7-9583-B5CD11EEAB0E
150,377CD4B8-BB06-11E7-9583-B5CD11EEAB0E,"Чулковская УК, ЖЭУ Тельмана-Мячково",377CD4B8-BB06-11E7-9583-B5CD11EEAB0E
153,377CD4B8-BB06-11E7-9583-B5CD11EEAB0E,"Чулковская УК, ЖЭУ Подмосковный",377CD4B8-BB06-11E7-9583-B5CD11EEAB0E
154,,ЕДС Жуковский,
155,,ЕДС Раменское,
157,3774E122-BB06-11E7-9583-B5CD11EEAB0E,"Ильинская УК, ЖЭУ № 1",3774E122-BB06-11E7-9583-B5CD11EEAB0E
158,3774E122-BB06-11E7-9583-B5CD11EEAB0E,"Ильинская УК, ЖЭУ № 2",3774E122-BB06-11E7-9583-B5CD11EEAB0E
159,3777FFD8-BB06-11E7-9583-B5CD11EEAB0E,"Гжельская УК, ЖЭК №1",3777FFD8-BB06-11E7-9583-B5CD11EEAB0E
161,3777FFD8-BB06-11E7-9583-B5CD11EEAB0E,"Гжельская УК, ЖЭК №3",3777FFD8-BB06-11E7-9583-B5CD11EEAB0E
162,3777FFD8-BB06-11E7-9583-B5CD11EEAB0E,"Гжельская УК, ЖЭК №4",3777FFD8-BB06-11E7-9583-B5CD11EEAB0E
164,37835798-BB06-11E7-9583-B5CD11EEAB0E,"ДП Раменского ПАО ""МОЭСК""",37835798-BB06-11E7-9583-B5CD11EEAB0E
170,b97e2f59-4610-4fdd-b9b3-c225cda1adb8,"ООО ""Объединение ЖК Системы""",b97e2f59-4610-4fdd-b9b3-c225cda1adb8
171,,"ООО ""СГ ИНФИНИТИ""",
172,,"ОАО ""ОДЖКХ""",
173,,ОДЖКХ ЖЭУ-1,
174,,ОДЖКХ ЖЭУ-2,
175,,ОДЖКХ ЖЭУ-3,
176,,ОДЖКХ ЖЭУ-4,
177,,ОДЖКХ ЖЭУ-5,
178,,ОДЖКХ ЖЭУ-6,
179,,ОДЖКХ ЖЭУ-7,
180,3777FFD8-BB06-11E7-9583-B5CD11EEAB0E,"АО ""Гжельская УК""",3777FFD8-BB06-11E7-9583-B5CD11EEAB0E
181,3777FFD8-BB06-11E7-9583-B5CD11EEAB0E,"Гжельская УК, ЖЭК №2",3777FFD8-BB06-11E7-9583-B5CD11EEAB0E
182,,"МБУ ""Пушгорхоз""",
183,3774E122-BB06-11E7-9583-B5CD11EEAB0E,"АО ""Ильинская УК""",3774E122-BB06-11E7-9583-B5CD11EEAB0E
184,377CD4B8-BB06-11E7-9583-B5CD11EEAB0E,АО Чулковская УК,377CD4B8-BB06-11E7-9583-B5CD11EEAB0E
185,377CD4B8-BB06-11E7-9583-B5CD11EEAB0E,"Чулковская УК, ЖЭУ Костантиново",377CD4B8-BB06-11E7-9583-B5CD11EEAB0E
